fdc_id,amount,measure_unit,modifier,gram_weight
167708,1.0,,fl oz,30.2
167709,1.0,,"cubic inch, boneless",17.0
167709,3.0,,"oz with bone, cooked (yield after bone removed)",85.0
167710,3.0,,"oz with bone, cooked (yield after bone removed)",85.0
167710,1.0,,"cubic inch, boneless",17.0
167711,1.0,,fl oz,30.5
167711,1.0,,cup,244.0
167712,3.0,,oz,85.0
167712,1.0,,slice cooked,8.0
167713,3.0,,oz,85.0
167713,1.0,,"thick slice (approx 3"" x 2"" x 3/8"")",42.0
167713,1.0,,"medium slice (approx 3"" x 2"" x 1/4"")",28.0
167715,1.25,,cup (1 NLEA serving),59.0
167716,1.0,,cup,226.0
167716,4.0,,oz,113.0
167717,1.0,,tsp,6.0
167718,1.0,,fl oz,31.2
167718,1.0,,bottle Earth's Best (4.2 fl oz),131.0
167718,1.0,,bottle Beech-Nut Stage I (4 fl oz),125.0
167718,1.0,,bottle NFS,125.0
167718,1.0,,bottle Heinz Strained (4 fl oz),125.0
167718,1.0,,bottle Gerber First Food (4 fl oz),125.0
167719,1.0,,piece,36.0
167719,1.0,,"cup, diced",130.0
167719,1.0,,cup pieces,168.0
167720,1.0,,jar NFS,179.0
167721,2.5,,oz,71.0
167722,1.0,,cup,262.0
167723,1.0,,fl oz,29.1
167724,1.0,,cup,21.0
167725,1.0,,cup (1 NLEA serving),50.0
167726,1.0,,tbsp,15.0
167726,1.0,,jar Beech-Nut Stage 2 (4 oz),113.0
167726,1.0,,jar Heinz Strained-2 (4.25 oz),120.0
167726,1.0,,jar NFS,113.0
167726,1.0,,jar Gerber Second Food (4 oz),113.0
167727,1.0,,cup,252.0
167727,1.0,,fl oz,31.5
167728,1.0,,tbsp,2.5
167729,1.0,,bottle Gerber Second Foods (4 fl oz),125.0
167729,1.0,,bottle NFS,125.0
167729,1.0,,bottle Beech-Nut Stage 2 (4 fl oz),125.0
167729,1.0,,fl oz,31.2
167729,1.0,,bottle Heinz Strained (4 fl oz),125.0
167730,1.0,,fl oz,30.5
167730,1.0,,cup,244.0
167731,1.0,,serving,15.0
167732,1.0,,jar Earth's Best (4.5 oz),128.0
167732,1.0,,jar NFS,113.0
167732,1.0,,jar Heinz Beginner-1 (2.5 oz),71.0
167732,1.0,,jar Gerber First Foods (2.5 oz),71.0
167732,1.0,,jar Beech-Nut Baby's First (2.5 oz),71.0
167732,1.0,,jar Beech-Nut Stage I (4 oz),113.0
167732,1.0,,tbsp,15.0
167733,1.0,,jar NFS,113.0
167733,1.0,,jar Gerber Second Food (4 oz),113.0
167733,1.0,,tbsp,15.0
167734,1.0,,bar,37.0
167734,1.0,,oz,28.35
167735,1.0,,"cup, shredded",113.0
167735,1.0,,slice (1 oz),28.0
167735,1.0,,cubic inch,18.0
167735,1.0,,"cup, diced",132.0
167736,1.0,,tbsp,15.0
167736,1.0,,cup,239.0
167737,1.0,,teaspoon,4.5
167737,1.0,,tablespoon,14.0
167738,1.0,,serving,151.0
167738,1.0,,cup,262.0
167739,1.0,,serving 2 fl oz,71.0
167739,1.0,,can 10 fl oz,355.0
167739,1.0,,fl oz,36.0
167740,1.0,,package,40.0
167740,1.0,,serving,9.9
167741,1.0,,cup,260.0
167741,1.0,,serving,113.0
167742,3.0,,oz,85.0
167743,1.0,,serving,21.0
167744,3.0,,oz,85.0
167745,3.0,,oz,85.0
167746,1.0,,"cup, sections",212.0
167746,1.0,,"fruit (2-3/8"" dia)",84.0
167746,1.0,,"fruit (2-1/8"" dia)",58.0
167746,1.0,,NLEA serving,58.0
167746,1.0,,"wedge or slice (1/8 of one 2-1/8"" dia lemon)",7.0
167747,1.0,,wedge yields,5.9
167747,1.0,,lemon yields,48.0
167747,1.0,,cup,244.0
167747,1.0,,fl oz,30.5
167748,1.0,,tsp,5.0
167748,1.0,,cup,244.0
167748,1.0,,fl oz,30.5
167748,1.0,,tbsp,15.0
167749,1.0,,tsp,2.0
167749,1.0,,tbsp,6.0
167750,1.0,,fruit without refuse,103.0
167750,1.0,,cup,149.0
167751,1.0,,"cup, pitted",248.0
167752,1.0,,"cup, pitted",248.0
167753,1.0,,fl oz,32.0
167753,1.0,,cup,256.0
167754,1.0,,"cup, sections",190.0
167754,1.0,,fruit without refuse,609.0
167755,1.0,,"pint as purchased, yields",312.0
167755,10.0,,raspberries,19.0
167755,1.0,,cup,123.0
167756,1.0,,cup,256.0
167757,1.0,,"cup, thawed",250.0
167757,1.0,,package (10 oz),284.0
167758,1.0,,stalk,51.0
167758,1.0,,"cup, diced",122.0
167759,1.0,,"cup, pulp",241.0
167759,1.0,,sapodilla,170.0
167760,1.0,,fruit without refuse,558.0
167760,1.0,,"cup 1"" pieces",175.0
167761,1.0,,"fruit (7"" x 5-1/4"" dia)",625.0
167761,1.0,,"cup, pulp",225.0
167762,1.0,,"cup, pureed",232.0
167762,1.0,,"large (1-3/8"" dia)",18.0
167762,1.0,,"cup, sliced",166.0
167762,1.0,,"pint as purchased, yields",357.0
167762,1.0,,"cup, halves",152.0
167762,1.0,,"medium (1-1/4"" dia)",12.0
167762,1.0,,"extra large (1-5/8"" dia)",27.0
167762,1.0,,NLEA serving,147.0
167762,1.0,,"cup, whole",144.0
167762,1.0,,"small (1"" dia)",7.0
167763,1.0,,"cup, pulp",120.0
167763,1.0,,"fruit (3"" x 1"")",2.0
167764,1.0,,cup,257.0
167765,1.0,,NLEA serving,280.0
167765,1.0,,"cup, diced",152.0
167765,10.0,,watermelon balls,122.0
167765,1.0,,"cup, balls",154.0
167765,1.0,,wedge (approx 1/16 of melon),286.0
167765,1.0,,"melon (15"" long x 7-1/2"" dia)",4518.0
167766,1.0,,cherry (NLEA serving),5.0
167767,1.0,,"cup, sliced",162.0
167767,1.0,,spear,26.0
167767,1.0,,"cup, chunks",181.0
167767,1.0,,"cup, crushed",195.0
167768,1.0,,"cup, halves",219.0
167768,1.0,,"cup, whole",182.0
167769,1.0,,cup,168.0
167770,1.0,,cup,179.0
167771,1.0,,cup,248.0
167771,1.0,,fl oz,31.0
167772,1.0,,cup,244.0
167773,1.0,,cup,255.0
167774,1.0,,cup,247.0
167774,1.0,,fruit yields,196.0
167775,1.0,,cup,239.0
167775,1.0,,fl oz,29.9
167776,1.0,,"cup, sliced",140.0
167776,1.0,,large,227.0
167776,1.0,,small,152.0
167776,1.0,,medium,177.0
167777,1.0,,small,126.0
167777,1.0,,medium,157.0
167777,1.0,,large,223.0
167777,1.0,,"cup, sliced",140.0
167778,1.0,,large,219.0
167778,1.0,,"cup, sliced",140.0
167778,1.0,,small,159.0
167778,1.0,,medium,179.0
167779,1.0,,"cup, sliced",140.0
167779,1.0,,medium,202.0
167779,1.0,,large,242.0
167779,1.0,,small,172.0
167780,2.0,,tbsp,36.0
167782,0.5,,cup,114.0
167783,0.5,,cup,114.0
167784,1.0,,cup,251.0
167785,1.0,,cup,251.0
167786,1.0,,cup,251.0
167787,1.0,,cup,249.0
167787,1.0,,fl oz,31.4
167788,3.0,,fruit without pits,11.1
167789,1.0,,"cup without pits, thawed",112.0
167789,3.0,,"fruit without pits, thawed",9.8
167790,1.0,,cup thawed,120.0
167791,1.0,,"fruit (4-2/3"" long x 2-3/4"" dia)",209.0
167791,1.0,,cup,233.0
167792,8.0,,fl oz,246.0
167793,1.0,,large,236.0
167793,1.0,,medium,192.0
167793,1.0,,small,158.0
167793,1.0,,"cup, sliced",109.0
167794,1.0,,fl oz,31.1
167794,1.0,,cup,249.0
167795,8.0,,fl oz,240.0
167796,1.0,,cup,275.0
167797,1.0,,cup,252.0
167798,1.0,,cup,230.0
167799,1.0,,cup,233.0
167800,6.0,,fl oz,177.0
167800,10.0,,fl oz,295.0
167801,1.0,,tbsp,15.0
167801,1.0,,tsp,5.2
167802,1.0,,tsp,5.0
167802,1.0,,tbsp,15.0
167803,0.25,,cup,70.0
167804,0.25,,cup,70.0
167805,8.0,,fl oz,248.0
167807,1.0,,cup,269.0
167807,1.0,,fl oz,31.5
167810,1.0,,oz,28.35
167810,1.0,,lb,453.6
167811,4.0,,oz,113.0
167811,1.0,,lb,453.6
167812,1.0,,lb,453.6
167812,4.0,,oz,113.0
167813,4.0,,oz,113.0
167813,1.0,,oz,28.35
167814,4.0,,oz,113.0
167814,1.0,,lb,453.6
167815,3.0,,oz,85.0
167815,1.0,,"cup, diced",135.0
167816,4.0,,oz,113.0
167816,1.0,,lb,453.6
167816,1.0,,roast,3952.0
167817,1.0,,roast,3027.0
167817,3.0,,oz,85.0
167818,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",117.0
167818,4.0,,oz,113.0
167819,3.0,,oz,85.0
167819,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",89.0
167820,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",87.0
167820,3.0,,oz,85.0
167821,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",89.0
167821,3.0,,oz,85.0
167822,4.0,,oz,113.0
167822,1.0,,chop,263.0
167823,3.0,,oz,85.0
167823,1.0,,chop,206.0
167824,3.0,,oz,85.0
167824,1.0,,chop,219.0
167825,1.0,,roast,830.0
167825,3.0,,oz,85.0
167826,1.0,,chop,187.0
167826,3.0,,oz,85.0
167827,3.0,,oz,85.0
167827,1.0,,"chop without refuse (Yield from 1 cooked chop, with refuse, weighing 209g)",157.0
167828,1.0,,roast,900.0
167828,3.0,,oz,85.0
167829,4.0,,oz,113.0
167829,1.0,,"chop without refuse (Yield from 1 raw chop, with refuse, weighing 259g)",178.0
167830,1.0,,chop,187.0
167830,3.0,,oz,85.0
167831,1.0,,"chop without refuse (Yield from 1 cooked chop, with refuse, weighing 172g)",112.0
167831,3.0,,oz,85.0
167832,3.0,,oz,85.0
167832,1.0,,roast,783.0
167833,4.0,,oz,113.0
167833,1.0,,"chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",86.0
167834,1.0,,chop,180.0
167834,3.0,,oz,85.0
167835,3.0,,oz,85.0
167835,1.0,,chop,195.0
167836,3.0,,oz,85.0
167836,1.0,,"roast without refuse (Yield from 1 cooked roast, with refuse, weighing 1515g)",1046.0
167837,1.0,,lb,453.6
167837,1.0,,"roast without refuse (Yield from 1 raw roast, with refuse, weighing 1818g)",1217.0
167837,4.0,,oz,113.0
167838,3.0,,oz,85.0
167838,1.0,,chop,180.0
167839,1.0,,chop,185.0
167839,4.0,,oz,113.0
167840,1.0,,chop,135.0
167841,3.0,,oz,85.0
167841,1.0,,chop,145.0
167842,1.0,,roast,848.0
167842,3.0,,oz,85.0
167843,1.0,,lb,453.6
167843,4.0,,oz,113.0
167844,1.0,,"cup, diced",135.0
167844,3.0,,oz,85.0
167845,1.0,,lb,453.6
167845,1.0,,oz,28.35
167846,1.0,,"cup, diced",135.0
167846,3.0,,oz,85.0
167847,1.0,,roast,2252.0
167847,3.0,,oz,85.0
167848,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",191.0
167848,3.0,,oz,85.0
167849,1.0,,lb,453.6
167849,4.0,,oz,113.0
167849,1.0,,"steak without refuse (Yield from 1 raw steak, with refuse, weighing 380g)",288.0
167850,1.0,,"steak without refuse (Yield from 1 cooked steak, with refuse, weighing 249g)",185.0
167850,3.0,,oz,85.0
167851,3.0,,oz,85.0
167851,1.0,,"steak, excluding refuse (yield from 1 raw steak, with refuse, weighing 300 g)",169.0
167852,3.0,,oz,85.0
167852,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",238.0
167853,4.0,,oz,113.0
167854,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",177.0
167854,3.0,,oz,85.0
167855,1.0,,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",231.0
167855,3.0,,oz,85.0
167856,3.0,,oz,85.0
167857,1.0,,ear,113.0
